;date;title;author;link;likes;comments;notes
167;25.11.22;Моя косметичка: как я пытаюсь ухаживать за кожей, склонной к атопическому дерматиту;Бублик ;/attempts-to-combat-atopic-dermatitis/;1;20;16
168;22.11.22;Лучшие игрушки-подарки для ребенка от 1 до 3 лет;Оксана Мосеева ;/best-toys-for-very-young-kids/;6;21;14
169;21.11.22;Вертикальные беспроводные пылесосы: топ удачных моделей от 16 500 ₽;Даниил Венедиктов ;/best-vacuum-cleaners/;10;33;38
170;18.11.22;Пять качественных моделей часов до 10 000 ₽;Кирилл Черемисин ;/best-cheap-watch/;11;29;24
171;14.11.22;Какой iPhone купить: 4 модели от 26 000 ₽;Дамир Камалетдинов ;/best-iphones/;27;49;27
172;14.11.22;Я собрал ПК за 146 000 ₽, потому что соскучился по видеоиграм;Сергей Диденко ;/pc-for-gaming/;15;63;9
173;11.11.22;Лучшие SSD: 5 удачных моделей для ПК, ноутбука и игровых консолей;Михаил Полярус ;/best-ssd/;4;25;18
174;11.11.22;Моя косметичка: уход за проблемной кожей, склонной к гиперкератозу и куперозу;Красный Стаканчик ;/skin-with-keratosis-and-rosacea/;2;4;10
175;08.11.22;Лучшие видеорегистраторы: что купить в машину;Константин Ищенко ;/best-dash-cams/;8;24;31
176;04.11.22;Моя косметичка: как я 6 лет ищу уход за комбинированной кожей и борюсь с акне;naduxa ;/combination-skin-with-acne/;5;27;10
177;28.10.22;Моя косметичка: как я справилась с проблемной кожей двумя средствами;Наталья ;/minimalist-care-problem-skin/;8;11;41
178;24.10.22;Лучшие смартфоны среднего класса: 6 удачных моделей до 50 000 ₽;Даниил Баздырев ;/best-middle-phones/;10;27;17
179;21.10.22;Моя косметичка: как я ищу уход за жирной мужской кожей;Биба Бобов ;/oily-male-skin/;-;12;8
180;21.10.22;Утка-обнимашка и ароматный крем: вещи до 1500 ₽, чтобы порадовать себя;Дмитрий Козаченко ;/short/wow-stuff/;16;12;32
181;17.10.22;Моя косметичка: как я начала ухаживать за кожей после появления первых морщин;nana_n ;/combination-skin-with-aging/;8;33;39
182;30.09.22;Моя косметичка: как я ухаживаю за проблемной подростковой кожей;габи ;/combination-problem-skin/;5;11;9
183;23.09.22;Моя косметичка: как я ухаживаю за комбинированной кожей в 25 лет;Тёплая медведка с материка ;/combination-skin-25-years/;4;7;23
184;16.09.22;Бюджетные игровые мыши, клавиатуры и не только: лучшие геймерские устройства до 2800 ₽;Егор Аргунов ;/best-gaming-lowcost/;5;18;12
185;16.09.22;Бюджетные игровые мыши, клавиатуры и не только: лучшие геймерские устройства до 2800 ₽;Егор Аргунов ;/best-gaming-lowcost/;5;18;12
186;09.09.22;Моя косметичка: как я ищу уход для борьбы с возрастными изменениями кожи 40+;Альбина Кабова ;/skin-kit-40/;6;47;9
187;02.09.22;Моя косметичка: как я ухаживаю за чувствительной кожей 30+;Soul of a dawn ;/messy-skin-care-over-30/;4;11;2
188;26.08.22;Моя косметичка: как я ухаживаю за нормальной кожей 45+;Инфузория туфелька ;/imperfect-skin-care/;10;11;7
189;24.08.22;Лучшие игровые консоли: какую PlayStation, Xbox или Nintendo выбрать в 2023 году;Денис Дудушкин ;/best-gaming-consoles/;10;35;7
190;19.08.22;Моя косметичка: бюджетный набор для ухода за кожей с акне легкой степени;Билли джин ;/products-for-mild-acne-skin/;8;15;17
191;12.08.22;Моя косметичка: набор для ухода за чувствительной кожей 45+;Левова Елена ;/skin-care-at-45/;5;9;8
192;05.08.22;Моя косметичка: уход за кожей с расширенными порами и первыми признаками старения;Нижегородская ;/products-for-oily-and-aging-skin/;6;16;19
193;29.07.22;Моя косметичка: набор корейской косметики для ухода за комбинированной кожей;SoFar Me ;/basic-universal-care/;9;14;21
194;22.07.22;Моя косметичка: минималистичный уход для сухой кожи с куперозом и пигментацией;Евгения Калинина ;/minimalist-dry-skin-care/;4;1;12
195;15.07.22;Моя косметичка: средства для ухода за жирной или комбинированной мужской кожей 45+;Сна-ряд ;/set-for-mens-skin/;4;13;7
196;01.07.22;Моя косметичка: уход за жирной кожей с сальными нитями и веснушками;Алиса Неведомская ;/products-for-oily-non-problem-skin/;6;24;11
197;24.06.22;Моя косметичка: как я променяла брендовые уходовые средства на мыло;Ульяна Ц. ;/soap-instead-of-branded-products/;4;22;2
198;17.06.22;Моя косметичка: как я нашла уход для жирной кожи с долговременным эффектом;Vlada Batigi ;/long-term-care/;4;14;20
199;10.06.22;Моя косметичка: как я 6 лет боролась с акне и подобрала уход за 15 000 ₽ в год;Анастасия Трушевская ;/care-rules/;6;17;29
200;03.06.22;Моя косметичка: как я ухаживаю за мягкими кудрями;Крис Черри ;/soft-curls/;6;29;13
